Artist ,Rank,Years Active,Genres,No. of Albums,No. of singles,Most Sold Albums
The Weekend,3,2010-Till Date,R&B,4,43,BBTM
Drake,7,2001-Till Date,Hip Hop,5,141,NWTS
Rihanna,26,2003-Till Date,Pop,8,75,G.G.G.B
Travis Scott,31,2012-Till Date,Hip Hop,3,43,Astroworld
Eminem,38,1988-Till Date,Rap,11,51,Kamikaze
Kanye West,46,1996-Till Date,Rap,9,137,College Dropout
Chris Brown,63,2002-Till Date,R&B,9,53,F.A.M.E
Blackbear,85,2006-Till Date,R&B,5,40,digital druglord
Kendrick Lamar,94,2004-Till Date,Rap,4,44,DAMN.
J. Cole,155,2007-Till Date,Rap,5,56,2014 Forest Drive
Jay-Z,170,1988-Till Date,Rap,13,68,04:44
Twenty One Pilots,192,2009-Till Date,Hip Hop,5,30,Blurryface
Arctic Monkeys,199,2002-Till Date,Indie Rock,6,26,T.B.H&C
The NBHD,260,2011-Till Date,Indie Rock,5,11,Wiped Out!
Logic,322,2010-20,Rap,6,40,Everybody
